OBS,D,DISTANCE,INCOME,OLD
1,1,3,42.24318,0
2,0,-3.7461,43.41784,1
3,0,-3.7461,43.41784,1
4,0,-3.7369,43.82044,0
5,1,-3.7369,43.43426,1
6,1,-3.7162,42.68955,1
7,1,-3.7092,44.05817,1
8,1,-3.7092,44.27197,0
9,1,-3.7092,44.05817,1
10,1,-3.7092,44.05817,1
11,1,-3.7092,44.05817,1
12,1,-3.7092,44.05817,1
13,1,-3.6894,41.12455,1
14,1,-3.6894,41.12455,1
15,1,-3.6894,41.12455,1
16,1,-3.6894,41.12455,1
17,1,-3.6894,41.12455,1
18,1,-3.6894,41.79199,0
19,1,-3.6894,41.12455,1
20,1,-3.6264,43.87983,0
21,1,-3.6264,42.00596,1
22,1,-3.61889,43.3972,1
23,1,-3.61889,43.3972,1
24,1,-3.61889,43.3972,1
25,1,-3.61889,43.3972,1
26,1,-3.61889,43.3972,1
27,1,-3.61889,43.3972,1
28,1,-3.61889,43.3972,1
29,1,-3.61889,43.3972,1
30,1,-3.61889,43.3972,1
31,1,-3.61889,43.3972,1
32,1,-3.61889,43.3972,1
33,1,-3.61889,43.3972,1
34,1,-3.61889,43.3972,1
35,1,-3.61889,43.3972,1
36,1,-3.61889,43.3972,1
37,1,-3.61889,43.3972,1
38,1,-3.61889,43.3972,1
39,1,-3.61889,43.3972,1
40,1,-3.61889,44.17924,0
41,1,-3.61889,43.3972,1
42,1,-3.61889,43.3972,1
43,1,-3.61889,43.3972,1
44,1,-3.61889,43.3972,1
45,1,-3.61889,43.3972,1
46,1,-3.61889,43.3972,1
47,1,-3.61889,43.3972,1
48,1,-3.61889,43.3972,1
49,1,-3.61889,43.3972,1
50,1,-3.61889,43.3972,1
51,1,-3.61889,43.3972,1
52,1,-3.61889,43.3972,1
53,1,-3.61889,43.3972,1
54,1,-3.61889,43.3972,1
55,1,-3.61889,43.3972,1
56,1,-3.61889,43.3972,1
57,1,-3.61889,43.3972,1
58,1,-3.61889,43.3972,1
59,1,-3.61889,43.3972,1
60,1,-3.61889,43.3972,1
61,0,-3.61889,43.3972,1
62,1,-3.5722,44.39067,1
63,1,-3.5722,44.39067,1
64,1,-3.5722,44.39067,1
65,1,-3.5722,44.39067,1
66,1,-3.5722,44.39067,1
67,1,-3.5722,45.63746,0
68,1,-3.5722,44.39067,1
69,1,-3.5722,44.39067,1
70,1,-3.5722,45.63746,0
71,1,-3.5722,44.39067,1
72,1,-3.5722,44.39067,1
73,1,-3.5722,45.63746,0
74,1,-3.5722,44.39067,1
75,1,-3.5722,42.59638,1
76,1,-3.5722,44.39067,1
77,1,-3.5722,45.63746,0
78,1,-3.5722,44.39067,1
79,1,-3.5722,44.39067,1
80,1,-3.5722,44.39067,1
81,1,-3.5722,45.63746,0
82,1,-3.5722,44.39067,1
83,1,-3.5722,44.39067,1
84,1,-3.5722,44.39067,1
85,1,-3.5722,44.39067,1
86,1,-3.5722,44.39067,1
87,1,-3.5722,44.39067,1
88,1,-3.5722,44.39067,1
89,1,-3.5722,45.63746,0
90,1,-3.5722,44.39067,1
91,1,-3.5722,44.39067,1
92,1,-3.5722,44.39067,1
93,1,-3.5722,44.39067,1
94,1,-3.5722,44.39067,1
95,1,-3.5722,44.39067,1
96,1,-3.5722,44.39067,1
97,0,-3.5183,46.89419,0
98,0,-3.5183,46.89419,0
99,1,-3.5183,45.457,1
100,0,-3.5183,45.457,1
101,1,-3.5066,41.81381,1
102,1,-3.5066,41.81381,1
103,1,-3.5066,41.81381,1
104,1,-3.412,42.82301,1
105,1,-3.412,42.82301,1
106,1,-3.412,42.82301,1
107,1,-3.412,42.82301,1
108,1,-3.412,42.82301,1
109,1,-3.412,42.82301,1
110,1,-3.412,42.82301,1
111,1,-3.412,43.10059,0
112,1,-3.412,42.82301,1
113,1,-3.412,42.82301,1
114,1,-3.412,42.82301,1
115,1,-3.412,42.82301,1
116,1,-3.412,42.82301,1
117,1,-3.412,42.82301,1
118,1,-3.412,42.82301,1
119,1,-3.412,42.82301,1
120,1,-3.412,42.82301,1
121,1,-3.412,42.82301,1
122,1,-3.412,42.82301,1
123,1,-3.412,42.82301,1
124,1,-3.412,42.82301,1
125,1,-3.412,42.82301,1
126,1,-3.412,42.82301,1
127,1,-3.412,42.82301,1
128,1,-3.412,42.82301,1
129,1,-3.412,42.82301,1
130,1,-3.412,42.82301,1
131,1,-3.412,42.82301,1
132,1,-3.412,42.82301,1
133,1,-3.412,43.10059,0
134,1,-3.412,42.82301,1
135,1,-3.412,42.82301,1
136,1,-3.412,42.82301,1
137,1,-3.412,42.82301,1
138,1,-3.412,43.10059,0
139,1,-3.412,42.82301,1
140,1,-3.412,42.82301,1
141,1,-3.412,42.82301,1
142,1,-3.412,43.10059,0
143,1,-3.412,42.82301,1
144,1,-3.412,43.10059,0
145,1,-3.412,43.10059,0
146,1,-3.412,42.82301,1
147,1,-3.412,42.82301,1
148,1,-3.412,42.82301,1
149,1,-3.412,42.82301,1
150,1,-3.412,42.82301,1
151,1,-3.412,42.82301,1
152,1,-3.412,42.82301,1
153,1,-3.412,42.82301,1
154,1,-3.412,42.82301,1
155,1,-3.412,43.10059,0
156,1,-3.412,42.82301,1
157,1,-3.412,42.82301,1
158,1,-3.412,42.82301,1
159,1,-3.412,42.82301,1
160,1,-3.412,43.10059,0
161,1,-3.412,43.10059,0
162,1,-3.412,42.82301,1
163,0,-3.412,42.82301,1
164,0,-3.412,42.82301,1
165,1,-3.3928,42.40541,1
166,1,-3.3928,42.40541,1
167,1,-3.215,44.80843,1
168,1,-3.215,44.80843,1
169,1,-3.215,44.80843,1
170,1,-3.215,47.33809,0
171,1,-3.215,47.33809,0
172,1,-3.215,44.80843,1
173,1,-3.215,44.80843,1
174,1,-3.215,44.80843,1
175,1,-3.215,44.80843,1
176,1,-3.215,44.80843,1
177,1,-3.215,44.80843,1
178,1,-3.215,44.80843,1
179,1,-3.215,44.80843,1
180,1,-3.215,44.80843,1
181,1,-3.215,44.80843,1
182,1,-3.215,44.80843,1
183,1,-3.215,44.80843,1
184,0,-3.1542,43.73791,0
185,1,-3.0929,41.51211,1
186,0,-3.0121,43.70931,1
187,1,-2.9804,42.95016,1
