AuctionID   Date        BidderID    MaxBid    
----------  ----------  ----------  ----------
1           20111003    2           12.38     
2           20111107    7           12.34     
3           20111205    6           13.03     
4           20120109    4           15.67     
5           20120206    1           19.21     
6           20120305    6           10.74     
7           20120402    3           15.62     
8           20120507    1           12.59     
9           20120604    1           14.16     
10          20120709    4           14.59     
