AuctionID   Date        Revenue     BidderID  
----------  ----------  ----------  ----------
1           20111003    15276.92    2         
2           20111107    4257.3      7         
3           20111205    30568.38    6         
4           20120109    20026.26    4         
5           20120206    15156.69    1         
6           20120305    10031.16    6         
7           20120402    4201.78     3         
8           20120507    4494.63     1         
9           20120604    21282.48    1         
10          20120709    3487.01     4         
