saleID,horsepower,diesel,fwd,manual
146,62,1,0,1
186,120,1,0,1
203,47,1,0,1
300,187,1,1,1
240,108,1,1,1
370,30,1,1,1
138,76,1,0,0
216,210,1,1,0
312,90,1,1,1
367,50,1,1,1
254,105,1,1,1
373,150,1,1,1
323,45,1,1,0
228,62,1,1,0
112,70,0,0,0
170,122,1,0,1
212,350,1,1,1
259,48,1,1,1
243,100,1,1,1
102,48,0,0,0
181,32,1,0,1
103,27,0,0,0
226,145,1,1,1
224,335,1,1,1
375,28,1,1,0
289,215,1,1,1
145,75,1,0,1
357,205,1,1,0
327,46,1,1,1
141,80,1,0,1
276,21,1,1,0
314,150,1,1,1
360,535,1,1,1
167,195,1,0,1
194,80,1,0,1
320,116,1,1,1
231,105,1,1,0
148,66,1,0,0
363,78,1,1,0
215,225,1,1,1
263,90,1,1,1
366,98,1,1,1
245,90,1,1,1
304,93,1,1,1
275,28,1,1,0
223,120,1,1,0
127,95,1,0,0
204,85,1,0,1
162,28,1,0,0
338,85,1,0,0
345,140,1,0,1
308,200,1,1,1
222,91,1,1,0
310,98,1,1,1
132,70,1,0,0
114,18,0,0,0
123,24,0,1,0
155,130,1,0,1
250,90,1,1,1
241,90,1,1,0
257,29,1,1,1
332,491,1,1,1
196,85,1,0,1
249,52,1,1,1
110,26,0,0,0
227,97,1,1,1
262,55,1,1,1
161,95,1,0,1
324,35,1,1,1
153,163,1,0,1
175,38,1,0,1
180,55,1,0,1
232,335,1,1,1
270,21,1,1,1
202,86,1,0,1
149,85,1,0,0
330,32,1,1,1
113,19,0,0,0
335,75,1,1,1
307,360,1,1,1
261,41,1,1,1
351,64,1,0,1
290,105,1,1,1
116,29,0,1,0
369,205,1,1,1
172,38,1,0,0
179,61,1,0,1
340,78,1,0,0
294,85,1,1,1
292,81,1,1,1
343,75,1,0,1
151,187,1,0,1
273,52,1,1,1
120,72,0,0,0
144,90,1,0,1
285,44,1,1,1
361,190,1,1,1
251,90,1,1,1
187,33,1,0,1
199,76,1,0,0
287,24,1,1,0
346,105,1,0,1
266,98,1,1,1
125,20,0,1,1
174,45,1,0,1
239,52,1,1,1
264,35,1,1,0
272,25,1,1,0
246,52,1,1,1
376,27,1,1,1
267,80,1,1,1
316,50,1,1,1
164,162,1,0,1
106,60,0,0,0
220,105,1,1,1
154,90,1,0,1
301,95,1,1,1
134,74,1,0,1
349,122,1,0,1
354,63,1,0,1
288,270,1,1,1
350,30,1,0,1
214,95,1,1,0
315,96,1,1,1
206,50,1,0,1
165,45,1,0,0
198,45,1,0,1
118,44,0,1,0
219,100,1,1,0
297,275,1,1,1
176,55,1,0,1
309,110,1,1,1
140,75,1,0,0
348,52,1,0,1
372,350,1,1,1
236,90,1,1,1
130,100,1,0,1
159,44,1,0,1
374,85,1,1,1
192,87,1,0,1
150,52,1,0,0
334,99,1,1,1
286,22,1,1,0
177,51,1,0,1
185,75,1,0,1
173,27,1,0,1
281,162,1,1,1
111,50,0,0,1
135,131,1,0,1
269,52,1,1,0
115,22,0,0,0
317,95,1,1,0
318,130,1,1,0
131,105,1,0,1
200,217,1,0,1
229,133,1,1,1
325,23,1,1,0
365,106,1,1,1
221,215,1,1,1
329,48,1,1,1
296,275,1,1,1
268,26,1,1,0
152,150,1,0,1
230,94,1,1,1
256,48,1,1,1
191,140,1,0,1
255,108,1,1,1
108,25,0,0,0
117,36,0,1,1
157,66,1,0,1
311,95,1,1,1
105,45,0,0,0
101,30,0,0,0
197,58,1,0,1
139,136,1,0,1
233,100,1,1,1
274,32,1,1,0
356,45,1,0,1
128,95,1,0,1
156,90,1,0,1
260,42,1,1,1
339,180,1,0,1
271,50,1,1,1
298,240,1,1,1
119,52,0,0,0
188,28,1,0,0
280,33,1,1,0
126,210,1,0,1
244,86,1,1,1
213,145,1,1,1
171,65,1,0,1
277,52,1,1,1
306,99,1,1,1
282,25,1,1,0
208,221,1,1,0
284,28,1,1,0
341,154,1,0,1
169,53,1,0,1
193,82,1,0,1
234,90,1,1,1
109,50,0,0,0
201,90,1,0,1
293,27,1,1,1
336,26,1,1,0
353,45,1,0,1
195,163,1,0,1
124,27,0,1,1
337,80,1,0,0
211,100,1,1,0
205,111,1,0,1
303,210,1,1,0
129,75,1,0,1
178,56,1,0,1
137,76,1,0,0
252,73,1,1,0
104,41,0,0,1
122,16,0,0,0
359,221,1,1,1
322,70,1,1,1
184,88,1,0,1
368,32,1,1,1
328,33,1,1,1
121,20,0,0,0
133,105,1,0,1
302,235,1,1,1
321,230,1,1,1
295,235,1,1,0
258,54,1,1,1
218,175,1,1,1
342,45,1,0,0
344,48,1,0,0
331,20,1,1,0
253,355,1,1,1
364,68,1,1,1
168,61,1,0,1
207,510,1,1,1
107,24,0,0,0
143,46,1,0,1
225,50,1,1,1
265,100,1,1,1
182,75,1,0,1
279,35,1,1,0
136,100,1,0,1
160,217,1,0,1
347,99,1,0,1
183,85,1,0,1
238,86,1,1,1
248,90,1,1,1
235,105,1,1,1
333,225,1,1,1
166,62,1,0,1
147,21,1,0,0
319,325,1,1,1
371,80,1,1,1
237,65,1,1,1
142,165,1,0,1
355,85,1,0,1
362,95,1,1,0
299,105,1,1,0
210,180,1,1,0
217,125,1,1,0
305,65,1,1,0
352,65,1,0,1
247,47,1,1,1
358,333,1,1,1
158,62,1,0,1
313,325,1,1,1
189,22,1,0,1
190,138,1,0,1
163,72,1,0,1
291,300,1,1,1
326,50,1,1,0
283,40,1,1,1
278,80,1,1,0
209,215,1,1,0
242,105,1,1,1
